<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
13/10/20,000000,0.0129920,0.0129920,0.0128890,0.0129370,288
14/10/20,000000,0.0129520,0.0129550,0.0128110,0.0128120,288
15/10/20,000000,0.0128120,0.0128490,0.0127040,0.0127840,288
16/10/20,000000,0.0127950,0.0128200,0.0127250,0.0128200,261
18/10/20,000000,0.0128180,0.0128660,0.0127890,0.0128160,54
19/10/20,000000,0.0128190,0.0128920,0.0127600,0.0128440,286
20/10/20,000000,0.0128450,0.0129170,0.0127730,0.0128940,288
21/10/20,000000,0.0129060,0.0130150,0.0128930,0.0129960,288
22/10/20,000000,0.0129960,0.0130550,0.0128660,0.0130230,288
23/10/20,000000,0.0130280,0.0130960,0.0129820,0.0130960,262
25/10/20,000000,0.0130960,0.0131140,0.0130680,0.0130700,66
26/10/20,000000,0.0130900,0.0131120,0.0130180,0.0130700,288
27/10/20,000000,0.0130420,0.0130690,0.0128940,0.0129000,287
28/10/20,000000,0.0129030,0.0129110,0.0125820,0.0126080,288
29/10/20,000000,0.0126280,0.0126810,0.0125240,0.0126680,288
30/10/20,000000,0.0126390,0.0126750,0.0125290,0.0125480,259
01/11/20,000000,0.0125480,0.0126660,0.0125050,0.0125940,64
02/11/20,000000,0.0125940,0.0125940,0.0123260,0.0123600,288
03/11/20,000000,0.0124260,0.0126280,0.0123570,0.0126280,286
04/11/20,000000,0.0125940,0.0128730,0.0124900,0.0128460,287
05/11/20,000000,0.0128670,0.0130510,0.0126830,0.0129620,288
06/11/20,000000,0.0129580,0.0130080,0.0128030,0.0128930,274
08/11/20,000000,0.0128770,0.0128990,0.0128330,0.0128970,61
09/11/20,000000,0.0128980,0.0131370,0.0128620,0.0130950,271
10/11/20,000000,0.0130650,0.0130930,0.0129820,0.0130330,280
11/11/20,000000,0.0130460,0.0131070,0.0129170,0.0129770,287
12/11/20,000000,0.0129770,0.0130080,0.0128530,0.0129180,287
13/11/20,000000,0.0129180,0.0129720,0.0128310,0.0129170,276
15/11/20,000000,0.0128900,0.0129100,0.0128760,0.0128810,60
16/11/20,000000,0.0129100,0.0131040,0.0128800,0.0130320,285
17/11/20,000000,0.0130320,0.0131130,0.0130090,0.0130760,288
18/11/20,000000,0.0130790,0.0131950,0.0130600,0.0131270,288
19/11/20,000000,0.0131410,0.0131410,0.0130150,0.0130410,287
20/11/20,000000,0.0130990,0.0131350,0.0130260,0.0131220,274
22/11/20,000000,0.0130810,0.0131220,0.0130620,0.0130860,57
23/11/20,000000,0.0130860,0.0131870,0.0130340,0.0131170,288
24/11/20,000000,0.0131140,0.0132250,0.0130910,0.0132130,288
25/11/20,000000,0.0132100,0.0132300,0.0131260,0.0132080,288
26/11/20,000000,0.0131890,0.0132330,0.0131640,0.0131850,288
27/11/20,000000,0.0131780,0.0131880,0.0130680,0.0131190,272
29/11/20,000000,0.0131480,0.0131600,0.0130640,0.0131500,64
30/11/20,000000,0.0131530,0.0131570,0.0130220,0.0130440,288
01/12/20,000000,0.0130450,0.0131910,0.0130400,0.0131300,288
02/12/20,000000,0.0131340,0.0132950,0.0131100,0.0132950,288
03/12/20,000000,0.0132680,0.0134170,0.0132310,0.0134170,287
04/12/20,000000,0.0133770,0.0135040,0.0133580,0.0134710,271
06/12/20,000000,0.0134710,0.0134970,0.0134280,0.0134760,64
07/12/20,000000,0.0134730,0.0136030,0.0133880,0.0135140,288
08/12/20,000000,0.0135140,0.0136470,0.0134870,0.0136210,288
09/12/20,000000,0.0135890,0.0136260,0.0134660,0.0135380,288
10/12/20,000000,0.0135380,0.0136620,0.0135010,0.0136520,288
11/12/20,000000,0.0136380,0.0136810,0.0135880,0.0136750,271
