<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
30/05/19,000000,2786.9400000,2799.0000000,2776.7400000,2788.8600000,22496
31/05/19,000000,2766.1500000,2768.9800000,2750.5200000,2752.0600000,22828
03/06/19,000000,2751.5300000,2763.0700000,2728.9400000,2744.4500000,24446
04/06/19,000000,2762.6400000,2804.4900000,2762.6400000,2803.2700000,23299
05/06/19,000000,2818.0900000,2827.1800000,2800.9200000,2826.1500000,22909
06/06/19,000000,2828.5100000,2852.1000000,2822.4500000,2843.4900000,22328
07/06/19,000000,2852.8700000,2884.9700000,2852.8700000,2873.3400000,22130
10/06/19,000000,2885.8300000,2904.7700000,2885.5100000,2886.7300000,22734
11/06/19,000000,2903.2700000,2910.6100000,2878.5300000,2885.7200000,22908
12/06/19,000000,2882.7300000,2888.5700000,2874.6800000,2879.8400000,21980
13/06/19,000000,2886.2400000,2895.2400000,2881.9900000,2891.6400000,21841
14/06/19,000000,2886.8200000,2894.4500000,2879.6200000,2886.9800000,21433
17/06/19,000000,2889.7500000,2897.2700000,2887.3000000,2889.6700000,21130
18/06/19,000000,2906.7100000,2930.7900000,2905.4400000,2917.7500000,22121
19/06/19,000000,2920.5500000,2931.7300000,2914.3400000,2926.4600000,18685
20/06/19,000000,2951.4300000,2958.0600000,2931.5000000,2954.1800000,19329
21/06/19,000000,2952.7100000,2964.1500000,2946.8700000,2950.4600000,18663
24/06/19,000000,2951.4200000,2954.9200000,2944.0500000,2945.3500000,18595
25/06/19,000000,2945.7800000,2946.5200000,2916.0100000,2917.3800000,19498
26/06/19,000000,2926.4300000,2932.5900000,2912.9900000,2913.7800000,19171
27/06/19,000000,2919.6600000,2929.3000000,2918.8500000,2924.9200000,18190
28/06/19,000000,2933.7600000,2943.9800000,2929.0500000,2941.7600000,18326
01/07/19,000000,2971.4100000,2977.9300000,2952.2200000,2964.3300000,19133
02/07/19,000000,2964.6600000,2973.1100000,2955.9200000,2973.0100000,18572
03/07/19,000000,2978.0800000,2995.8400000,2978.0800000,2995.8200000,10484
05/07/19,000000,2984.2500000,2994.0300000,2967.9700000,2990.4100000,18232
08/07/19,000000,2979.7700000,2980.7600000,2970.0900000,2975.9500000,18245
09/07/19,000000,2965.5200000,2981.9000000,2963.4400000,2979.6300000,17967
10/07/19,000000,2989.3000000,3002.9800000,2984.6200000,2993.0700000,18814
11/07/19,000000,2999.6200000,3002.3300000,2988.8000000,2999.9100000,18679
12/07/19,000000,3003.3600000,3013.9200000,3001.8700000,3013.7700000,18039
15/07/19,000000,3017.8000000,3017.8000000,3008.7700000,3014.3000000,17854
16/07/19,000000,3012.1300000,3015.0200000,3001.1500000,3004.0400000,18630
17/07/19,000000,3005.1000000,3005.2600000,2984.2500000,2984.4200000,18232
18/07/19,000000,2978.8700000,2998.2800000,2973.0900000,2995.1100000,18970
19/07/19,000000,3004.2600000,3006.0200000,2975.8600000,2976.6100000,19062
22/07/19,000000,2981.9300000,2990.7100000,2976.6500000,2985.0300000,18191
23/07/19,000000,2994.7400000,3005.9000000,2988.5600000,3005.4700000,18676
24/07/19,000000,2998.7700000,3019.5700000,2996.8200000,3019.5600000,18550
25/07/19,000000,3016.2600000,3016.3100000,2997.2400000,3003.6700000,19383
26/07/19,000000,3013.2500000,3027.9800000,3012.5900000,3025.8600000,18416
29/07/19,000000,3024.4700000,3025.6100000,3014.3000000,3020.9700000,18459
30/07/19,000000,3007.6600000,3017.1900000,3000.9400000,3013.1800000,18537
31/07/19,000000,3016.2200000,3017.4000000,2958.0800000,2980.3800000,18162
01/08/19,000000,2980.3200000,3013.5900000,2945.2300000,2953.5600000,18823
02/08/19,000000,2943.9000000,2945.4400000,2914.1100000,2932.0500000,20132
05/08/19,000000,2898.0700000,2898.0700000,2822.1200000,2844.7400000,20674
06/08/19,000000,2861.1800000,2884.4000000,2847.4200000,2881.7700000,20534
07/08/19,000000,2858.6500000,2892.1600000,2826.1300000,2883.9800000,20145
08/08/19,000000,2896.2100000,2938.7200000,2894.4700000,2938.0900000,19634
09/08/19,000000,2930.5100000,2935.7500000,2900.1500000,2918.6500000,19815
12/08/19,000000,2907.0700000,2907.5800000,2873.1400000,2883.0900000,19728
13/08/19,000000,2880.7200000,2943.2100000,2877.0500000,2926.3200000,17785
14/08/19,000000,2894.1500000,2894.1500000,2839.6400000,2840.6000000,21037
15/08/19,000000,2846.2000000,2856.6700000,2825.5100000,2847.6000000,19884
16/08/19,000000,2864.7400000,2893.6300000,2864.7400000,2888.6800000,19167
19/08/19,000000,2913.4800000,2931.0000000,2913.4800000,2923.6500000,18693
20/08/19,000000,2919.0100000,2923.6300000,2899.6000000,2900.5100000,19163
21/08/19,000000,2922.0400000,2928.7300000,2918.2600000,2924.4300000,18418
22/08/19,000000,2930.9400000,2939.0800000,2904.5100000,2922.9500000,18943
23/08/19,000000,2911.0700000,2927.0100000,2834.9700000,2847.1100000,19994
26/08/19,000000,2866.7000000,2878.8700000,2856.0000000,2878.3800000,19311
27/08/19,000000,2893.1400000,2898.7900000,2860.5900000,2869.1600000,19989
28/08/19,000000,2861.2800000,2890.0300000,2853.0500000,2887.9400000,18976
29/08/19,000000,2910.3700000,2930.5000000,2905.6800000,2924.5800000,18611
30/08/19,000000,2937.0900000,2940.4300000,2913.3200000,2926.4600000,18765
03/09/19,000000,2909.0100000,2914.3900000,2891.9800000,2906.2700000,19248
04/09/19,000000,2924.6700000,2938.8400000,2921.8600000,2937.7800000,18339
05/09/19,000000,2960.6000000,2985.8600000,2960.6000000,2976.0000000,18776
06/09/19,000000,2980.3300000,2985.0300000,2972.5100000,2978.7100000,18330
09/09/19,000000,2989.0800000,2989.4300000,2969.3900000,2978.4300000,19530
10/09/19,000000,2971.0100000,2979.3900000,2957.0100000,2979.3900000,19892
11/09/19,000000,2981.4100000,3000.9300000,2975.5000000,3000.9300000,19294
12/09/19,000000,3009.0800000,3020.7400000,3000.9200000,3009.5700000,18664
13/09/19,000000,3012.2100000,3017.3300000,3002.9000000,3007.3900000,19290
16/09/19,000000,2996.4100000,3002.1900000,2990.6700000,2997.9600000,18872
17/09/19,000000,2995.6700000,3006.2100000,2993.7300000,3005.7000000,18329
18/09/19,000000,3001.5000000,3007.8300000,2978.5700000,3006.7300000,19062
19/09/19,000000,3010.3600000,3021.9900000,3003.1600000,3006.7900000,18670
20/09/19,000000,3008.4200000,3016.3700000,2984.6800000,2992.0700000,19394
23/09/19,000000,2983.5000000,2999.1500000,2982.2900000,2991.7800000,18384
24/09/19,000000,3002.4300000,3007.9800000,2957.7300000,2966.6000000,19969
25/09/19,000000,2968.3500000,2989.7000000,2953.9100000,2984.8700000,18935
26/09/19,000000,2985.7300000,2987.2800000,2963.7100000,2977.6200000,18770
27/09/19,000000,2985.4700000,2987.2500000,2945.5300000,2961.7900000,19104
30/09/19,000000,2967.0700000,2983.8500000,2967.0700000,2976.7400000,18338
01/10/19,000000,2983.6900000,2992.5300000,2938.8300000,2940.2500000,18791
02/10/19,000000,2922.9800000,2922.9800000,2874.9300000,2887.6100000,19713
03/10/19,000000,2885.5200000,2910.9300000,2855.9600000,2910.6300000,18460
04/10/19,000000,2918.5600000,2953.7400000,2918.5600000,2952.0100000,18513
07/10/19,000000,2944.2300000,2959.4000000,2935.6800000,2938.7900000,18589
08/10/19,000000,2920.4000000,2925.4700000,2892.6600000,2893.0600000,19061
09/10/19,000000,2911.1000000,2929.3200000,2907.4100000,2919.4000000,18527
10/10/19,000000,2918.5500000,2948.4600000,2917.1200000,2938.1300000,18561
11/10/19,000000,2966.0300000,2992.9700000,2966.0300000,2970.2700000,18514
14/10/19,000000,2965.8100000,2972.8400000,2962.9400000,2966.1500000,17570
15/10/19,000000,2973.6100000,3003.2800000,2973.6100000,2995.6800000,17792
16/10/19,000000,2989.6800000,2997.5400000,2985.2000000,2989.6900000,17199
17/10/19,000000,3000.7700000,3008.2900000,2991.7900000,2997.9500000,17796
18/10/19,000000,2996.8400000,3000.0000000,2976.3100000,2986.2000000,18959
21/10/19,000000,2996.4800000,3007.3300000,2995.3500000,3006.7200000,17447
22/10/19,000000,3010.7300000,3014.5700000,2995.0400000,2995.9900000,17750
23/10/19,000000,2994.0100000,3004.7800000,2991.2100000,3004.5200000,18203
24/10/19,000000,3015.1300000,3016.0700000,3000.4200000,3010.2900000,18861
25/10/19,000000,3003.3200000,3027.3900000,3001.9400000,3022.5500000,18638
28/10/19,000000,3032.1200000,3044.0800000,3032.1200000,3039.4200000,18489
29/10/19,000000,3035.3900000,3047.8700000,3034.8100000,3036.8900000,18998
30/10/19,000000,3039.7400000,3050.0900000,3028.5100000,3046.7700000,18933
31/10/19,000000,3046.9000000,3046.9000000,3023.1900000,3037.5600000,19430
01/11/19,000000,3050.7200000,3066.9200000,3050.7200000,3066.9100000,18413
04/11/19,000000,3078.9600000,3085.2000000,3074.8700000,3078.2700000,18615
05/11/19,000000,3080.8000000,3083.8700000,3072.1500000,3074.6200000,18363
06/11/19,000000,3075.1000000,3076.7900000,3065.9600000,3076.7800000,18187
07/11/19,000000,3087.0200000,3097.7400000,3080.2300000,3085.1800000,18464
